source,target,context
# DocType Names
Repair Order,Ordre de Réparation,
Device,Appareil,
Customer,Client,
Brand,Marque,
Repair Status,Statut de Réparation,
Repair Priority,Priorité de Réparation,
Device Inspection Item,Élément d'Inspection,
Repair Order Defect,Défaut/Service,

# Repair Order - Sections
Customer Information,Informations Client,
Device Information,Informations Appareil,
Device Inspection Checklist,Liste de Contrôle,
Repair Details,Détails de Réparation,
Status & Assignment,Statut et Attribution,
Pricing,Tarification,
Tracking,Suivi,

# Repair Order - Fields
Customer Name,Nom du Client,
Contact Number,Numéro de Contact,
Email,E-mail,
Device Model,Modèle d'Appareil,
Serial Number,Numéro de Série,
Device Password/PIN,Mot de Passe/PIN,
Inspection Items,Éléments d'Inspection,
Defects/Services,Défauts/Services,
Additional Notes (Customer),Notes Supplémentaires (Client),
Technician Notes (Internal),Notes Technicien (Interne),
Status,Statut,
Priority,Priorité,
Assigned Technician,Technicien Assigné,
Total Service Amount,Montant Total Services,
Priority Charge,Frais de Priorité,
Tax Amount,Montant TVA,
Grand Total,Total Général,
Paid Amount,Montant Payé,
Payment Status,Statut de Paiement,
Tracking ID,ID de Suivi,
Booking Date,Date de Réservation,
Expected Completion,Fin Prévue,
Actual Completion,Fin Réelle,

# Payment Status Options
Unpaid,Non Payé,
Partially Paid,Partiellement Payé,
Paid,Payé,

# Repair Status Values
Pending Review,En Attente de Révision,
In Progress,En Cours,
Awaiting Parts,En Attente de Pièces,
Awaiting Customer Approval,En Attente d'Approbation Client,
Testing,En Test,
Completed,Terminé,
Ready for Pickup,Prêt pour Retrait,
Delivered,Livré,
Cancelled,Annulé,
On Hold,En Attente,

# Repair Priority Values
Standard,Standard,
Express,Express,
Urgent,Urgent,
Economy,Économique,

# Workspace Elements
Repair Box,Boîte de Réparation,
Quick Actions,Actions Rapides,
Dashboards,Tableaux de Bord,
New Repair Order,Nouvel Ordre de Réparation,
Add Device,Ajouter un Appareil,
New Checklist,Nouvelle Liste de Contrôle,
Repair Kanban,Kanban de Réparation,
My Repairs,Mes Réparations,
Repairs by Status,Réparations par Statut,
Monthly Revenue,Revenu Mensuel,

# Dashboard Chart Names
Repair Operations,Opérations de Réparation,
Master Data,Données de Base,
Inspections,Inspections,
Settings,Paramètres,

# Validation Messages
Cannot mark as Delivered without full payment. Contact Manager for override.,Impossible de marquer comme Livré sans paiement complet. Contactez le Manager.,
Payment Required,Paiement Requis,
Cannot return to Pending Review status,Impossible de retourner au statut En Attente de Révision,
Invalid Status Change,Changement de Statut Invalide,
Cannot mark repair as Completed without any defects or services.,Impossible de marquer la réparation comme Terminée sans défauts ou services.,
Completion Not Allowed,Achèvement Non Autorisé,

# Print Format - Repair Receipt
REPAIR RECEIPT,REÇU DE RÉPARATION,
Receipt,Reçu,
Customer Details,Détails Client,
Device Details,Détails Appareil,
Model,Modèle,
Serial,Série,
Services & Repairs,Services et Réparations,
Item,Article,
Description,Description,
Price,Prix,
Service Charges,Frais de Service,
Priority Fee,Frais de Priorité,
Tax (19%),TVA (19%),
Total Amount,Montant Total,
Amount Paid,Montant Payé,
Balance Due,Solde Dû,
Terms & Conditions,Conditions Générales,
All repairs come with a 30-day warranty,Toutes les réparations sont garanties 30 jours,
Customer is responsible for data backup,Le client est responsable de la sauvegarde des données,
Devices not collected within 90 days will be disposed,Les appareils non récupérés sous 90 jours seront éliminés,
Thank you for your business!,Merci pour votre confiance !,

# Common Actions
Save,Enregistrer,
Submit,Soumettre,
Cancel,Annuler,
Delete,Supprimer,
Print,Imprimer,
Email,Envoyer par E-mail,
Duplicate,Dupliquer,
Refresh,Actualiser,

# Common Labels
Name,Nom,
Date,Date,
Time,Heure,
Amount,Montant,
Total,Total,
Notes,Notes,
Actions,Actions,
Created,Créé,
Modified,Modifié,
Owner,Propriétaire,

# Messages
Are you sure?,Êtes-vous sûr ?,
Success,Succès,
Error,Erreur,
Warning,Avertissement,
Please fill all required fields,Veuillez remplir tous les champs obligatoires,
Record saved successfully,Enregistrement réussi,
Record deleted successfully,Suppression réussie,
